Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
DDD,3D Systems Corporation,12.54,$1.4B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd,
MMM,3M Company,148.7,$92.9B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm,
WBAI,500.com Limited,19.38,$809.76M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai,
WUBA,58.com Inc.,51.21,$5.93B,2013,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/wuba,
AHC,A.H. Belo Corporation,5.61,$121.63M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc,
ATEN,A10 Networks Inc.,6.3,$393.25M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten,
AAC,AAC Holdings Inc.,n/a,n/a,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac,
AIR,AAR Corp.,22.46,$790.73M,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air,
AAN,Aaron&#39;s  Inc.,38.48,$2.79B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan,
ABB,ABB Ltd,18.26,$40.55B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,42.22,$62.93B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt,
ABBV,AbbVie Inc.,56.53,$93.57B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv,
ANF,Abercrombie & Fitch Company,20.41,$1.41B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf,
GCH,Aberdeen Greater China Fund Inc.,9.21,$84.62M,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch,
JEQ,Aberdeen Japan Equity Fund Inc. ,7.38,$100.83M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq,
SGF,Aberdeen Singapore Fund Inc.,9.4689,$72.9M,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf,
ABM,ABM Industries Incorporated,28.52,$1.6B,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm,
AKR,Acadia Realty Trust,32.1,$2.21B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr,
ACN,Accenture plc.,103.01,$67B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn,
ACCO,Acco Brands Corporation,8.16,$882.3M,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco,
ACW,Accuride Corporation New,2.98,$142.89M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/acw,
ACE,Ace Limited,108.95,$35.28B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ace,
ATV,Acorn International Inc.,0.66,$18.27M,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv,
ATU,Actuant Corporation,21.39,$1.27B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu,
AYI,Acuity Brands Inc,198.9,$8.66B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi,
ADX,Adams Diversified Equity Fund Inc.,13.37,$1.24B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx,
PEO,Adams Natural Resources Fund Inc.,20.58,$527.97M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo,
AGRO,Adecoagro S.A.,9.22,$1.12B,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro,
ADPT,Adeptus Health Inc.,80.62,$1.12B,1986,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adpt,
ADT,ADT Corporation,33,$5.61B,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/adt,
AAP,Advance Auto Parts Inc,190.8,$13.97B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap,
WMS,Advanced Drainage Systems Inc.,31.91,$1.7B,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms,
ASX,Advanced Semiconductor Engineering Inc.,5.95,$9.39B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx,
AAV,Advantage Oil & Gas Ltd,6.16,$1.05B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav,
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,8.36,$1.67B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ate,
AVK,Advent Claymore Convertible Securities and Income Fund,13.98,$329.66M,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk,
AGC,Advent Claymore Convertible Securities and Income Fund II,5.77,$186.03M,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc,
LCM,Advent/Claymore Enhanced Growth & Income Fund,8.64,$117.53M,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm,
ACM,AECOM,28.36,$4.28B,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm,
ANW,Aegean Marine Petroleum Network Inc.,8.24,$405.44M,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw,
AEB,Aegon NV,24.13,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb,
AED,Aegon NV,25.94,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed,
AEG,Aegon NV,6.25,$16.72B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg,
AEH,Aegon NV,25.5,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh,
AEK,Aegon NV,27.94,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek,
AER,Aercap Holdings N.V.,39.31,$7.76B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer,
HIVE,Aerohive Networks Inc.,6.33,$301.9M,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive,
AJRD,Aerojet Rocketdyne Holdings Inc. ,16.78,$1.08B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd,
ARO,Aeropostale Inc,0.47,$37.42M,2002,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aro,
AET,Aetna Inc.,112.99,$39.39B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet,
AFM.CL,Affiliated Managers Group Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afm.cl,
AMG,Affiliated Managers Group Inc.,176.7,$9.59B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg,
MGR,Affiliated Managers Group Inc.,26.35,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/mgr,
AFL,Aflac Incorporated,61.34,$26.42B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl,
AFSD,Aflac Incorporated,25.39,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd,
MITT,AG Mortgage Investment Trust Inc.,15.97,$453.72M,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt,
MITT^A,AG Mortgage Investment Trust Inc.,23.8611,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a,
MITT^B,AG Mortgage Investment Trust Inc.,23.8967,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b,
AGCO,AGCO Corporation,44.24,$3.86B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco,
A,Agilent Technologies Inc.,n/a,n/a,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a,
GAS,AGL Resources Inc.,61.89,$7.43B,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/gas,
AEM,Agnico Eagle Mines Limited,29.2,$6.35B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem,
ADC,Agree Realty Corporation,30.75,$558.59M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc,
GRO,Agria Corporation,1.41,$78.09M,2007,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/gro,
AGU,Agrium Inc.,95.22,$13.37B,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu,
AL,Air Lease Corporation,32.57,$3.34B,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al,
APD,Air Products and Chemicals Inc.,138.86,$29.85B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd,
AYR,Aircastle Limited,21.74,$1.76B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr,
ARG,Airgas Inc.,91.93,$6.86B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/arg,
AKS,AK Steel Holding Corporation,2.86,$508.61M,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks,
ALP^O,Alabama Power Company,27.7195,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^o,
ALG,Alamo Group Inc.,45.45,$519.15M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg,
AGI,Alamos Gold Inc.,4.47,$1.14B,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi,
ALK,Alaska Air Group Inc.,75.83,$9.65B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk,
AIN,Albany International Corporation,30.65,$980.8M,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain,
ALB,Albemarle Corporation,52.45,$5.88B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb,
ALU,Alcatel Lucent,3.76,$10.51B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alu,
AA,Alcoa Inc.,n/a,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa,
AA^B,Alcoa Inc.,34.12,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aa^b,
ALR,Alere Inc.,47.35,$4.06B,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr,
ALR^B,Alere Inc.,332.86,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alr^b,
ALEX,Alexander & Baldwin Holdings Inc.,37.17,$1.82B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex,
ALX,Alexander&#39;s Inc.,365.42,$1.87B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx,
ARE,Alexandria Real Estate Equities Inc.,93.04,$6.73B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are,
ARE^E,Alexandria Real Estate Equities Inc.,25.74,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^e,
BABA,Alibaba Group Holding Limited,71.99,$179.65B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/baba,
Y,Alleghany Corporation,487.89,$7.79B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y,
ATI,Allegheny Technologies Incorporated,17.44,$1.9B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati,
ALLE,Allegion plc,60.32,$5.78B,2013,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/alle,
AGN,Allergan plc.,278.13,$109.48B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agn,
AGN^A,Allergan plc.,975.42,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agn^a,
ALE,Allete Inc.,52.77,$2.58B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ale,
AKP,Alliance California Municipal Income Fund Inc,13.92,$119.07M,2002,n/a,n/a,http://www.nasdaq.com/symbol/akp,
ADS,Alliance Data Systems Corporation,278.16,$17.09B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ads,
AFB,Alliance National Municipal Income Fund Inc,13.43,$385.94M,2002,n/a,n/a,http://www.nasdaq.com/symbol/afb,
AOI,Alliance One International Inc.,19.91,$192.5M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/aoi,
AWF,Alliance World Dollar Government Fund II,11.3,$972.62M,1993,n/a,n/a,http://www.nasdaq.com/symbol/awf,
ACG,ALLIANCEBERNSTEIN INCOME FUND INC,7.92,$1.92B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acg,
AB,Allianceberstein Holding L.P.,27.09,$2.73B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ab,
LNT,Alliant Energy Corporation,60.72,$6.88B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/lnt,
NCV,AllianzGI Convertible & Income Fund,6.21,$476.65M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncv,
NCZ,AllianzGI Convertible & Income Fund II,5.49,$404.24M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncz,
ACV,AllianzGI Diversified Income & Convertible Fund,18.57,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/acv,
NIE,AllianzGI Equity & Convertible Income Fund,18.22,$504.86M,2007,n/a,n/a,http://www.nasdaq.com/symbol/nie,
NFJ,AllianzGI NFJ Dividend Interest & Premium Strategy Fund,13.23,$1.25B,2005,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nfj,
AWH,Allied World Assurance Company Holdings AG,39.3,$3.57B,2006,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/awh,
ALSN,Allison Transmission Holdings Inc.,27.76,$4.9B,2012,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alsn,
ALL,Allstate Corporation (The),61.2,$24.5B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/all,
ALL^A,Allstate Corporation (The),25.83,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^a,
ALL^B,Allstate Corporation (The),25.94,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^b,
ALL^C,Allstate Corporation (The),27.42,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^c,
ALL^D,Allstate Corporation (The),27.15,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^d,
ALL^E,Allstate Corporation (The),27.39,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^e,
ALL^F,Allstate Corporation (The),26.46,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^f,
ALLY,Ally Financial Inc.,20.5,$9.88B,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ally,
ALLY^A,Ally Financial Inc.,25.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ally^a,
ALLY^B,Ally Financial Inc.,26.13,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ally^b,
BSI,Alon Blue Square Israel Ltd.,0.4812,$31.84M,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/bsi,
ALJ,Alon USA Energy Inc.,17.17,$1.22B,2005,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/alj,
ALDW,Alon USA Partners LP,24.32,$1.52B,2012,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/aldw,
AGD,Alpine Global Dynamic Dividend Fund,9.04,$113.93M,2006,n/a,n/a,http://www.nasdaq.com/symbol/agd,
AWP,Alpine Global Premier Properties Fund,6.07,$521.76M,2007,n/a,n/a,http://www.nasdaq.com/symbol/awp,
AOD,Alpine Total Dynamic Dividend Fund,7.98,$867.77M,2007,n/a,n/a,http://www.nasdaq.com/symbol/aod,
RESI,Altisource Residential Corporation,15.31,$875.98M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/resi,
MO,Altria Group,58.72,$115.13B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/mo,
ACH,Aluminum Corporation of China Limited,9.2,$5.48B,2001,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/ach,
AMBR,Amber Road Inc.,4.84,$126.76M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ambr,
ABEV,Ambev S.A.,4.99,$78.33B,2013,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/abev,
AMC,AMC Entertainment Holdings Inc.,26.82,$2.61B,2013,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/amc,
AMFW,Amec Plc Ord,12.19,$4.74B,2014,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/amfw,
AEE,Ameren Corporation,44.1,$10.7B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/aee,
AMRC,Ameresco Inc.,6.6,$307.02M,2010,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/amrc,
AMX,America Movil S.A.B. de C.V.,17.38,$58.68B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amx,
AAT,American Assets Trust Inc.,43.17,$1.94B,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aat,
AXL,American Axle & Manufacturing Holdings Inc.,19.84,$1.51B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/axl,
ACC,American Campus Communities Inc,38.3,$4.3B,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/acc,
AEO,American Eagle Outfitters Inc.,15.91,$3.11B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aeo,
AEP,American Electric Power Company Inc.,58.54,$28.72B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aep,
AEL,American Equity Investment Life Holding Company,25.2,$1.94B,2003,Finance,Life Insurance,http://www.nasdaq.com/symbol/ael,
AXP,American Express Company,77.21,$77.31B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/axp,
AFA,American Financial Group Inc.,25.7474,n/a,2012,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afa,
AFG,American Financial Group Inc.,71.31,$6.25B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afg,
AFGE,American Financial Group Inc.,26.55,n/a,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afge,
AFW,American Financial Group Inc.,26.99,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afw,
AMH,American Homes 4 Rent,16.8,$3.55B,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amh,
AMH^A,American Homes 4 Rent,25.053,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amh^a,
AMH^B,American Homes 4 Rent,25.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^b,
AMH^C,American Homes 4 Rent,25.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^c,
AIG,American International Group Inc.,60,$77.63B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/aig,
AIG.WS,American International Group Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aig.ws,
AMID,American Midstream Partners LP,11.7,$281.55M,2011,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/amid,
ARL,American Realty Investors Inc.,6.73,$104.41M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/arl,
ARPI,American Residential Properties Inc.,17.24,$555.44M,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arpi,
AWR,American States Water Company,40.95,$1.53B,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/awr,
AMT,American Tower Corporation (REIT),96.13,$40.69B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amt,
AMT^A,American Tower Corporation (REIT),103.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amt^a,
AMT^B,American Tower Corporation (REIT),104.35,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amt^b,
AVD,American Vanguard Corporation,13.76,$401.81M,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/avd,
AWK,American Water Works,58.38,$10.52B,2008,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/awk,
APU,AmeriGas Partners L.P.,44.08,$4.09B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/apu,
AMP,AMERIPRISE FINANCIAL SERVICES INC.,111.57,$19.88B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amp,
ABC,AmerisourceBergen Corporation (Holding Co),95.06,$20.55B,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/abc,
ANFI,Amira Nature Foods Ltd,5.58,$160.04M,2012,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/anfi,
AHS,AMN Healthcare Services Inc,31.45,$1.5B,2001,Technology,Professional Services,http://www.nasdaq.com/symbol/ahs,
AP,Ampco-Pittsburgh Corporation,11.22,$117.14M,n/a,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/ap,
APH,Amphenol Corporation,53.31,$16.48B,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aph,
BETR,Amplify Snack Brands inc.,12.37,$927.75M,2015,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/betr,
