Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
TFSC,1347 Capital Corp.,9.75,$57.99M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc,
TFSCR,1347 Capital Corp.,0.3,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscr,
TFSCU,1347 Capital Corp.,10.21,$42.68M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscu,
TFSCW,1347 Capital Corp.,0.28,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscw,
PIH,1347 Property Insurance Holdings Inc.,7.24,$45.36M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,
FLWS,1-800 FLOWERS.COM Inc.,9.64,$625.93M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,
FCTY,1st Century Bancshares Inc,6.94,$71.63M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty,
FCCY,1st Constitution Bancorp (NJ),11.7,$88.3M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,30.82,$977.03M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,
VNET,21Vianet Group Inc.,20.24,$1.75B,2011,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/vnet,
TWOU,2U Inc.,24.64,$1.02B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,
DGLD,3X Inverse Gold ETN Velocityshares,71.4,$9.71M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dgld,
DSLV,3X Inverse Silver ETN Velocityshares,49.37,$27.99M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dslv,
UGLD,3X Long Gold ETN Velocityshares,10.2,$10.05M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ugld,
USLV,3X Long Silver ETN Velocityshares,16,$31.4M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/uslv,
