Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
XXII,22nd Century Group Inc,1.19,$84.34M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii,
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.74,$1.26B,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax,
IAF,Aberdeen Australia Equity Fund Inc,5.75,$131.9M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf,
CH,Aberdeen Chile Fund Inc.,6.29,$59.04M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch,
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,11.5,$112.29M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe           ,
FCO,Aberdeen Global Income Fund Inc.,8.04,$72.41M,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco,
IF,Aberdeen Indonesia Fund Inc.,6,$56.91M,1990,n/a,n/a,http://www.nasdaq.com/symbol/if,
ISL,Aberdeen Israel Fund Inc.,17.68,$71.38M,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl,
ACU,Acme United Corporation.,17.54,$58.69M,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu,
AIII,ACRE Realty Investors Inc.,1.33,$26.69M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii,
ATNM,Actinium Pharmaceuticals Inc.,2.28,$92.65M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm,
AE,Adams Resources & Energy Inc.,42.88,$180.85M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae,
ADK,Adcare Health Systems Inc,3.24,$64.41M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk,
ADK^A,Adcare Health Systems Inc,21.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a,
ACY,AeroCentury Corp.,9.65,$14.89M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy,
